Site,PH,Temperature,Cond,TDS,DO,Alkalinity,N,P,Copepod,P. chiltoni,Acanthocyclops sp,Diaptomus sp,M. edax,Gammarus sp,Chaoborus sp,L. cyprinacea,L. intestinalis,P. clarias,P.leavionchus,L. marcuseni,C. tilapiae,Cystacanthus
E1,7.8,30.48,220.54,113.71,4.52,125.58,17.13,1.63,33. 33,50,0,0,0,50,0,5,2,3,3,14,13,9
E2,7.47,30.46,217.16,113.05,4.92,114.33,15.54,1.74,41.67,0,0,50,28.57,0,75,,,,,,,
E3,7.42,30.58,221.56,114.23,0.7,118.33,15.07,1.94,33.33,50,50,0,50,50,50,,,,,,,
E4,7.69,30.46,223.88,115.02,0.9,137.42,15.45,1.85,25,0,0,0,0,0,25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
