FISH SPECIES,TOTAL LENGTH,STANDARD LENGTH,HEAD LENGTH,WEIGHT,SEX,PARASITE LOCATION,S.L grp,parasite no,Parasite infection
Auchenoglaris occidentalis,30,27,6.5,415.9,F,NIL,26 - 30cm,0,
Auchenoglaris occidentalis,30.5,27.5,7,416,F,NIL,26 - 30cm,0,
Auchenoglaris occidentalis,29.5,26.5,6.5,415,F,NIL,26 - 30cm,0,
Clarias gariepinus,26.5,23.5,6.5,99.3,J,NIL,21 - 25cm,0,
Clarias gariepinus,26,23,6,99,J,NIL,21 - 25cm,0,
Clarias gariepinus,25.5,22.5,6,100,J,NIL,21 - 25cm,0,
Schilbe uranoscopus,19.5,16.5,3.5,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,19,16,3.2,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,18.5,15.5,3,105,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,18,15,3,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,20,17,3.5,105,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,20.5,17.5,3.5,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,19.3,16.3,3,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,19.2,16.2,3,100,J,NIL,0 - 20cm,0,
Schilbe uranoscopus,19,16,3.5,100,J,NIL,0 - 20cm,0,
Tilapia zilli,28,25,5,347.7,M,NIL,21 - 25cm,0,
Tilapia zilli,28.5,25.5,5.5,345.5,M,NIL,21 - 25cm,0,
Tilapia zilli,27.5,24.5,4.5,347,M,NIL,21 - 25cm,0,
Ctenopoma kingslaye,16.5,13.5,3.2,106.8,F,GILLS,0 - 20cm,5,Clinostomum tilapiae
Ctenopoma kingslaye,16,13,3.5,106.5,F,NIL,0 - 20cm,0,
Ctenopoma kingslaye,17,14,3,106,F,NIL,0 - 20cm,0,
Polypterus senegalus,24,21,2.5,116.9,F,NIL,21 - 25cm,0,
Polypterus senegalus,24.5,21.5,2.5,116.5,F,NIL,21 - 25cm,0,
Polypterus senegalus,23.5,20.5,2.5,116.4,F,NIL,0 - 20cm,0,
Clarias gariepinus,16.5,13.5,4.5,106.5,F,NIL,0 - 20cm,0,
Clarias gariepinus,16.5,13.5,4,100.8,F,NIL,0 - 20cm,0,
Clarias gariepinus,16,13,4.5,100.5,F,NIL,0 - 20cm,0,
Clarias gariepinus,15.5,12.5,3.5,105.5,F,NIL,0 - 20cm,0,
Clarias gariepinus,15,12,3.5,105,F,NIL,0 - 20cm,0,
Clarias gariepinus,16,13,4.5,106,F,NIL,0 - 20cm,0,
Parachana obscura,23,20,3.5,153.7,M,NIL,0 - 20cm,0,
Parachana obscura,23.5,20.5,4,153.5,M,NIL,0 - 20cm,0,
Parachana obscura,24,21,4.5,153,M,NIL,21 - 25cm,0,
Hepsetus odoe,30,27,3.5,116.9,F,NIL,26 - 30cm,0,
Hepsetus odoe,29.5,26.5,3,116,F,STOMACH,26 - 30cm,3,Procamallanus leaviochus
Hepsetus odoe,30.5,27.5,3.5,116.5,F,NIL,26 - 30cm,0,
Oreochromis niloticus,24.5,21.5,3.5,286.3,F,NIL,21 - 25cm,5,Clinostomum tilapiae
Oreochromis niloticus,23.5,20.5,3,285.3,F,NIL,0 - 20cm,0,
Oreochromis niloticus,24,21,3,285,F,NIL,21 - 25cm,0,
Sarotherodon galileus,29,24,6.5,600,M,NIL,21 - 25cm,0,
Sarotherodon galileus,29.5,24.5,6,605,M,NIL,21 - 25cm,0,
Sarotherodon galileus,30,25,6.5,610,M,NIL,21 - 25cm,0,
Sarotherodon melanoptheron,25,22,3.5,450,F,NIL,21 - 25cm,0,
Sarotherodon melanoptheron,24.5,21.5,3,445,M,NIL,21 - 25cm,0,
Sarotherodon melanoptheron,20,17,4,375,F,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,24,21,3.5,440,F,NIL,21 - 25cm,0,
Sarotherodon melanoptheron,20.5,17.5,3.5,380,M,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,21.5,18.5,4,385,F,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,22.5,19.5,4.5,390,F,NIL,0 - 20cm,0,
Sarotherodon melanoptheron,22,19,4.5,390,M,NIL,0 - 20cm,0,
